account_name,account_name_clean,account_level,parent_account_name,account_group_name
1. 급 여,1. 급 여,parent,,1. 급 여
- 13th payroll,13th payroll,child,1. 급 여,1. 급 여
- EMPLOYEE BENEFIT PROGRAMS,EMPLOYEE BENEFIT PROGRAMS,child,1. 급 여,1. 급 여
- Incentive,Incentive,child,1. 급 여,1. 급 여
- Payroll,Payroll,child,1. 급 여,1. 급 여
10. 지급수수료,10. 지급수수료,parent,,10. 지급수수료
11. 운반비,11. 운반비,parent,,11. 운반비
12. 기타 수수료(매장관리비 외),12. 기타 수수료(매장관리비 외),parent,,12. 기타 수수료(매장관리비 외)
13. 보험료,13. 보험료,parent,,13. 보험료
14. 감가상각비,14. 감가상각비,parent,,14. 감가상각비
15. 면세점 직접비,15. 면세점 직접비,parent,,15. 면세점 직접비
2. TRAVEL & MEAL,2. TRAVEL & MEAL,parent,,2. TRAVEL & MEAL
3. 피복비(유니폼),3. 피복비(유니폼),parent,,3. 피복비(유니폼)
4. 임차료,4. 임차료,parent,,4. 임차료
- Base Rent,Base Rent,child,4. 임차료,4. 임차료
- Government Rate & License Fee,Government Rate & License Fee,child,4. 임차료,4. 임차료
- Rent free / Rent concession,Rent free / Rent concession,child,4. 임차료,4. 임차료
- Turnover Rates,Turnover Rates,child,4. 임차료,4. 임차료
5. 유지보수비,5. 유지보수비,parent,,5. 유지보수비
6. 수도광열비,6. 수도광열비,parent,,6. 수도광열비
7. 소모품비,7. 소모품비,parent,,7. 소모품비
8. 통신비,8. 통신비,parent,,8. 통신비
9. 광고선전비,9. 광고선전비,parent,,9. 광고선전비
- KOL / other,KOL / other,child,9. 광고선전비,9. 광고선전비
- Mall Coupon,Mall Coupon,child,9. 광고선전비,9. 광고선전비
Tag매출액,Tag매출액,parent,,Tag매출액
매출원가합계,매출원가합계,parent,,매출원가합계
매출원가,매출원가,child,매출원가합계,매출원가합계
운반비,운반비,child,매출원가합계,매출원가합계
매출총이익,매출총이익,parent,,매출총이익
실매출액,실매출액,parent,,실매출액
영업이익,영업이익,parent,,영업이익
판매관리비,판매관리비,parent,,판매관리비
할인율,할인율,parent,,할인율
